archArea,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,hhldCnt,hoCnt,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,roofCd,roofCdNm,sigunguCd,splotNm,strctCd,strctCdNm,totArea,vlRatEstmTotArea
0,10500, , ,0021,20100325,1,0,0,0010, ,0,주건축물,01000,단독주택,11110-100005047,11110-100004167,0,서울특별시 종로구 창성동 21-10번지,9,20,기와,11110, ,51,일반목구조,70.08,0
67.53,10500,창성동 21-10 제2종근린생활시설 (김혜경), ,0021,20130611,0,0,0,0010, ,0,주건축물,04000,제2종근린생활시설,11110-100007180,11110-100005658,0,서울특별시 종로구 창성동 21-10번지,10,90,기타지붕,11110, ,21,철근콘크리트구조,296.73,226.67
0,10600, , ,0001,20090326,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100006139,11110-100006488,0,서울특별시 종로구 통의동 1-1번지,1,20,기와,11110, ,51,일반목구조,135.09,0
71.52,10600,통인동 1-7 제1종근린생활시설 (이유경), ,0001,20140322,0,0,0,0007, ,0,주건축물,03000,제1종근린생활시설,11110-100018742,11110-100019465,0,서울특별시 종로구 통의동 1-7번지,2,30,슬레이트,11110, ,11,벽돌구조,0,132.84
0,10600, , ,0002,20100325,1,0,0,0001, ,0,주건축물,01000,단독주택,11110-100009349,11110-100011566,0,서울특별시 종로구 통의동 2-1번지,3,20,기와,11110, ,51,일반목구조,72.73,0
0,10600, , ,0002,20130327,0,0,0,0001, ,0,주건축물,03000,제1종근린생활시설,11110-100016017,11110-100017287,0,서울특별시 종로구 통의동 2-1번지,4,20,기와,11110, ,11,벽돌구조,102.48,0
125.72,10600,통의동 2-1번지 근린생활시설, ,0002,20170413,0,0,0,0001, ,0,주건축물,04000,제2종근린생활시설,11110-100027698,11110-100011855,0,서울특별시 종로구 통의동 2-1번지,5,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,768.92,443.03
227.68,10600,엘엔씨, ,0006,20130413,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-2829,11110-2298,0,서울특별시 종로구 통의동 6번지,6,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1338.16,1079.44
110.74,10600,통의동 7-4 단독주택 (김선주), ,0007,20091126,0,0,0,0004, ,0,주건축물,03000,제1종근린생활시설,11110-100008899,11110-100011144,0,서울특별시 종로구 통의동 7-4번지,7,20,기와,11110, ,51,일반목구조,110.74,110.74
-22.08,10600,통의동 7-6 단독주택 (김세형), ,0007,20151007,1,0,0,0006, ,0,주건축물,01000,단독주택,11110-100023355,11110-100019135,0,서울특별시 종로구 통의동 7-6번지,8,20,기와,11110, ,51,일반목구조,-22.08,0
22.58,10600,통의동 7-6 단독주택 (김세형), ,0007,20151007,1,0,0,0006, ,0,주건축물,01000,단독주택,11110-100023356,11110-100019135,0,서울특별시 종로구 통의동 7-6번지,9,20,기와,11110, ,51,일반목구조,22.58,22.58
56.81,10600,통의동 7-8 제2종근린생활시설, ,0007,20100112,0,0,0,0008, ,0,주건축물,04000,제2종근린생활시설,11110-100008961,11110-100011221,0,서울특별시 종로구 통의동 7-8번지,10,20,기와,11110, ,51,일반목구조,52.89,52.89
257.32,10700,古都, ,0001,20090326,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-2975,11110-2442,0,서울특별시 종로구 적선동 1번지,1,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,1305.13,1006.08
0,10700,적선동 17, ,0017,20120815,0,0,0,0000, ,0,주건축물,03000,제1종근린생활시설,11110-100014745,11110-100016190,0,서울특별시 종로구 적선동 17번지,2,90,기타지붕,11110, ,51,일반목구조,0,0
0,10700, , ,0019,20150131,0,0,0,0000, ,0,주건축물,03000,제1종근린생활시설,11110-100021326,11110-100021997,0,서울특별시 종로구 적선동 19번지,3,20,기와,11110, ,51,일반목구조,64.73,0
0,10700, , ,0019,20150131,0,0,0,0000, ,0,주건축물,03000,제1종근린생활시설,11110-100021327,11110-100021997,0,서울특별시 종로구 적선동 19번지,4,20,기와,11110, ,11,벽돌구조,163.74,0
128.12,10700,하늘빌딩, ,0019,20160610,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-100025206,11110-100021517,0,서울특별시 종로구 적선동 19번지,5,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,556.16,434.7
0,10700, , ,0023,20110422,1,0,0,0000, ,0,주건축물,01000,단독주택,11110-100011806,11110-100013739,0,서울특별시 종로구 적선동 23번지,6,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,41.96,0
0,10700,제2종근린생활시설, ,0023,20131018,0,0,0,0000, ,0,주건축물,04000,제2종근린생활시설,11110-100011920,11110-100013809,0,서울특별시 종로구 적선동 23번지,7,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,0,0
111.97,10700, , ,0029,20190130,0,0,0,0000, ,0,주건축물,03000,제1종근린생활시설,11110-100035808,11110-100031071,0,서울특별시 종로구 적선동 29번지,8,10,(철근)콘크리트,11110, ,21,철근콘크리트구조,15.58,361.47
1778.27,10700,적선동 66 업무시설 (노스게이트제일차유동화전문유한회사), ,0066,20140124,0,0,0,0000, ,0,주건축물,14000,업무시설,11110-100010938,11110-100012264,0,서울특별시 종로구 적선동 66번지,9,10,(철근)콘크리트,11110, ,42,철골철근콘크리트구조,34313.05,21076.92
1778.27,10700,노스게이트 빌딩, ,0066,20140902,0,0,0,0000, ,0,주건축물,14000,업무시설,11110-100019841,11110-100020184,0,서울특별시 종로구 적선동 66번지,10,10,(철근)콘크리트,11110, ,31,일반철골구조,34313.05,21076.92
