C1,C1_NM,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
00020003,경기,지역별,0001,전체,규모별,649.2658449,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0001,전체,규모별,10117.69944,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0001,전체,규모별,618.177885,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0002,40㎡이하,규모별,6370.588235,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0002,40㎡이하,규모별,487.4352941,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0002,40㎡이하,규모별,5000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0002,40㎡이하,규모별,480,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0003,40㎡초과,규모별,19113.63636,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0003,40㎡초과,규모별,961.7613636,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0003,40㎡초과,규모별,20000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00020003,경기,지역별,0003,40㎡초과,규모별,885,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0001,전체,규모별,11350.85365,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0001,전체,규모별,464.6686753,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0001,전체,규모별,8173.699687,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0001,전체,규모별,425.0123161,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0002,40㎡이하,규모별,5080.167951,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0002,40㎡이하,규모별,329.885135,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0002,40㎡이하,규모별,4753.897921,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0002,40㎡이하,규모별,327.9107013,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0003,40㎡초과,규모별,25919.83946,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0003,40㎡초과,규모별,777.8177597,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0003,40㎡초과,규모별,16119.08968,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
0003,지방,지역별,0003,40㎡초과,규모별,650.61317,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0001,전체,규모별,13411.82172,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0001,전체,규모별,483.3236748,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0001,전체,규모별,9237.182551,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0001,전체,규모별,435.816323,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0002,40㎡이하,규모별,5364.754098,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0002,40㎡이하,규모별,324.6147541,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0002,40㎡이하,규모별,5000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0002,40㎡이하,규모별,320,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0003,40㎡초과,규모별,33852.08333,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0003,40㎡초과,규모별,886.4583333,T002,평균월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0003,40㎡초과,규모별,20000,T003,중위월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030001,부산,지역별,0003,40㎡초과,규모별,730,T004,중위월세가격,408,201903,M,DT_08002_06,월세가격,천원,1000 won
00030002,대구,지역별,0001,전체,규모별,6280.512433,T001,평균월세보증금,408,201903,M,DT_08002_06,월세가격,천원,1000 won
