bjdongCd,block,bun,crtnDay,hjdongCd,ji,jimokCd,jimokCdNm,lot,mainDongGbCd,mainDongGbCdNm,mgmDongOulnPk,mgmPlatPlcPk,platGbCd,platPlc,relJibunNm,reprYn,rnum,sigunguCd,splotNm,mgmPmsrgstPk
10100, ,0050,20170524,515,0049,08,대, ,1,동별,11110-100027973,11110-100038949,0,서울특별시 종로구 청운동 50-49번지, ,0,112,11110, ,
10100, ,0050,20150903,515,0062,08,대, ,0,전체,11110-100031806,11110-100022515,0,서울특별시 종로구 청운동 50-62번지, ,1,113,11110, ,
10100, ,0051,20130618,510,0005,08,대, ,0,전체,11110-756,11110-418,0,서울특별시 종로구 청운동 51-5번지, ,1,114,11110, ,
10100, ,0051,20130618,510,0005, , , ,0,전체,11110-855,11110-517,0,서울특별시 종로구 청운동 51-5번지, ,1,115,11110, ,
10100, ,0052,20160608,515,0002,08,대, ,0,전체,11110-100034915,11110-100023810,0,서울특별시 종로구 청운동 52-2번지, ,1,116,11110, ,
10100, ,0052,20100616,510,0005,08,대, ,0,전체,11110-100013675,11110-100012124,0,서울특별시 종로구 청운동 52-5번지, ,1,117,11110, ,
10100, ,0052,20101123,510,0005,08,대, ,0,전체,11110-100015225,11110-100011904,0,서울특별시 종로구 청운동 52-5번지, ,1,118,11110, ,
10100, ,0052,20141001,515,0005,08,대, ,0,전체,11110-100027829,11110-100020788,0,서울특별시 종로구 청운동 52-5번지, ,1,119,11110, ,
10100, ,0052,20180328,515,0005,08,대, ,0,전체,11110-100043024,11110-100030171,0,서울특별시 종로구 청운동 52-5번지, ,1,120,11110, ,
10100, ,0052,20090326,510,0006,08,대, ,0,전체,11110-1157,11110-794,0,서울특별시 종로구 청운동 52-6번지, ,1,121,11110, ,
10100, ,0052,20130618,510,0010,08,대, ,0,전체,11110-810,11110-472,0,서울특별시 종로구 청운동 52-10번지, ,1,122,11110, ,
10100, ,0052,20100604,510,0015,08,대, ,0,전체,11110-784,11110-446,0,서울특별시 종로구 청운동 52-15번지, ,1,123,11110, ,
10100, ,0052,20090326,510,0016,08,대, ,0,전체,11110-2839,11110-2465,0,서울특별시 종로구 청운동 52-16번지, ,1,124,11110, ,
10100, ,0052,20090326,510,0018,08,대, ,0,전체,11110-905,11110-567,0,서울특별시 종로구 청운동 52-18번지, ,1,125,11110, ,
10100, ,0052,20120204,510,0018,08,대, ,0,전체,11110-805,11110-467,0,서울특별시 종로구 청운동 52-18번지, ,1,126,11110, ,
10100,52,0052,20090326,510,0023,08,대,23,0,전체,11110-1443,11110-1080,0,서울특별시 종로구 청운동 52-23번지, ,1,127,11110,서울시 종로구 청운동,
10100, ,0052,20100112,510,0026,08,대, ,0,전체,11110-100012191,11110-100008788,0,서울특별시 종로구 청운동 52-26번지, ,1,128,11110, ,
10100, ,0052,20100325,510,0026,08,대, ,0,전체,11110-100009690,11110-100009995,0,서울특별시 종로구 청운동 52-26번지, ,1,129,11110, ,
10100, ,0052,20161022,515,0028,08,대, ,0,전체,11110-100036710,11110-100026582,0,서울특별시 종로구 청운동 52-28번지, ,1,130,11110, ,
10100, ,0052,20100616,510,0037,08,대, ,0,전체,11110-100013674,11110-100012123,0,서울특별시 종로구 청운동 52-37번지, ,1,131,11110, ,
10100, ,0052,20101123,510,0037,08,대, ,0,전체,11110-100015226,11110-100011904,0,서울특별시 종로구 청운동 52-37번지, ,0,132,11110, ,
10100, ,0052,20101123,510,0037,08,대, ,1,동별,11110-100010849,11110-100015227,0,서울특별시 종로구 청운동 52-37번지, ,0,133,11110, ,
10100, ,0052,20141001,515,0037,08,대, ,0,전체,11110-100027830,11110-100020788,0,서울특별시 종로구 청운동 52-37번지, ,0,134,11110, ,
