bjdongCd,block,bun,crtnDay,ji,jijiguCd,jijiguCdNm,jijiguGbCd,jijiguGbCdNm,jijiguNm,lot,mainDongGbCd,mainDongGbCdNm,mgmPmsrgstPk,platGbCd,platPlc,reprYn,rnum,sigunguCd,splotNm
10100, ,0039,20140327,0006,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1827,0,서울특별시 종로구 청운동 39-6번지,1,96,11110, 
10100, ,0039,20140327,0006,200, ,2,용도지구코드,경치지구, ,0,전체,11110-1827,0,서울특별시 종로구 청운동 39-6번지,1,97,11110, 
10100, ,0040,20090326,0003,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1032,0,서울특별시 종로구 청운동 40-3번지,1,98,11110, 
10100, ,0040,20090326,0003,990, ,2,용도지구코드,기타지구, ,0,전체,11110-1032,0,서울특별시 종로구 청운동 40-3번지,1,99,11110, 
10100, ,0040,20140206,0003,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1758,0,서울특별시 종로구 청운동 40-3번지,1,100,11110, 
10100, ,0040,20140206,0003,200, ,2,용도지구코드,경치지구, ,0,전체,11110-1758,0,서울특별시 종로구 청운동 40-3번지,1,101,11110, 
10100, ,0040,20180914,0003,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100019422,0,서울특별시 종로구 청운동 40-3번지,1,102,11110, 
10100, ,0040,20180914,0003,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100019422,0,서울특별시 종로구 청운동 40-3번지,0,103,11110, 
10100, ,0040,20180914,0003,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100019422,0,서울특별시 종로구 청운동 40-3번지,1,104,11110, 
10100, ,0048,20150730,0000,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100023269,0,서울특별시 종로구 청운동 48번지,1,105,11110, 
10100, ,0048,20150730,0000,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100023269,0,서울특별시 종로구 청운동 48번지,1,106,11110, 
10100, ,0049,20170524,0002,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100024571,0,서울특별시 종로구 청운동 49-2번지,1,107,11110, 
10100, ,0049,20170524,0002,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100024571,0,서울특별시 종로구 청운동 49-2번지,0,108,11110, 
10100, ,0049,20170524,0002,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100024571,0,서울특별시 종로구 청운동 49-2번지,1,109,11110, 
10100, ,0050,20170421,0006,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,1,110,11110, 
10100, ,0050,20170421,0006,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,0,111,11110, 
10100, ,0050,20170421,0006,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,1,112,11110, 
10100, ,0050,20170421,0006,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,1,113,11110, 
10100, ,0050,20170421,0006,UOA110,절대정화구역,3,용도구역코드,절대정화구역, ,0,전체,11110-100025737,0,서울특별시 종로구 청운동 50-6번지,0,114,11110, 
10100, ,0050,20131206,0010,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-1020,0,서울특별시 종로구 청운동 50-10번지,1,115,11110, 
10100, ,0050,20131206,0010,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-1020,0,서울특별시 종로구 청운동 50-10번지,1,116,11110, 
10100, ,0050,20190213,0030,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100024762,0,서울특별시 종로구 청운동 50-30번지,1,117,11110, 
10100, ,0050,20190213,0030,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100024762,0,서울특별시 종로구 청운동 50-30번지,1,118,11110, 
10100, ,0050,20170722,0040,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100025972,0,서울특별시 종로구 청운동 50-40번지,1,119,11110, 
10100, ,0050,20170722,0040,UQA121,제1종일반주거지역,1,용도지역코드,제1종일반주거지역, ,0,전체,11110-100025972,0,서울특별시 종로구 청운동 50-40번지,0,120,11110, 
10100, ,0050,20170722,0040,UQF110,자연경관지구,2,용도지구코드,자연경관지구, ,0,전체,11110-100025972,0,서울특별시 종로구 청운동 50-40번지,1,121,11110, 
10100, ,0050,20150903,0062,UQA001,도시지역,1,용도지역코드,도시지역, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,1,122,11110, 
10100, ,0050,20150903,0062,UQA122,제2종일반주거지역,1,용도지역코드,제2종일반주거지역, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,0,123,11110, 
10100, ,0050,20150903,0062,UQH110,최고고도지구,2,용도지구코드,최고고도지구, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,1,124,11110, 
10100, ,0050,20150903,0062,UOA120,상대정화구역,3,용도구역코드,상대정화구역, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,1,125,11110, 
10100, ,0050,20150903,0062,UOA110,절대정화구역,3,용도구역코드,절대정화구역, ,0,전체,11110-100022515,0,서울특별시 종로구 청운동 50-62번지,0,126,11110, 
10100, ,0051,20130618,0005,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-517,0,서울특별시 종로구 청운동 51-5번지,0,127,11110, 
10100, ,0051,20130618,0005,1020, ,1,용도지역코드,일반주거지역, ,0,전체,11110-517,0,서울특별시 종로구 청운동 51-5번지,1,128,11110, 
10100, ,0051,20130618,0005,112, ,2,용도지구코드,최고고도지구, ,0,전체,11110-517,0,서울특별시 종로구 청운동 51-5번지,1,129,11110, 
10100, ,0051,20130618,0005,0100, ,1,용도지역코드,도시지역, ,0,전체,11110-418,0,서울특별시 종로구 청운동 51-5번지,0,130,11110, 
