archArea,archGbCd,archGbCdNm,archPmsDay,atchBldDongCnt,bcRat,bjdongCd,bldNm,block,bun,crtnDay,fmlyCnt,guyukCd,guyukCdNm,hhldCnt,hoCnt,ji,jiguCd,jiguCdNm,jimokCd,jimokCdNm,jiyukCd,jiyukCdNm,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmPmsrgstPk,platArea,platGbCd,platPlc,realStcnsDay,rnum,sigunguCd,splotNm,stcnsDelayDay,stcnsSchedDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
120.24,0100,신축,20160615,0,29.91,10100,청운동  단독주택, ,0015,20180420,1, , ,0,0,0033,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,01000,단독주택,11110-100025592,401.99,0,서울특별시 종로구 청운동 15-33번지,20160729,43,11110, , ,20160718,486.83,0,20180419,82.57,331.94
159.26,0200,증축,20121011,3,23.1039,10100,부속동, ,0015,20130727,0,UOA120,상대정화구역,1,0,0046,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100016486,689.32,0,서울특별시 종로구 청운동 15-46번지,20130509,44,11110, , ,20130513,260.76,0,20130726,30.6926,211.57
0, , ,20150626,0,0,10100, , ,0015,20150627,0, , ,0,0,0046, , ,08,대, , , ,0, , ,11110-100023085,0,0,서울특별시 종로구 청운동 15-46번지, ,45,11110, , , ,0,0, ,0,0
193.97,0100,신축,20151013,1,28.13,10100,청운동 15-46 단독주택 (조상래), ,0015,20161207,1, , ,0,0,0046,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100023938,689.38,0,서울특별시 종로구 청운동 15-46번지,20151113,46,11110, , ,20151116,350.458,0,20161206,41.39,285.378
195, , ,20000601,0,0,10100, , ,0015,20100818,0, , ,0,0,0047, , , , , , , ,0, , ,11110-732,203,0,서울특별시 종로구 청운동 15-47번지, ,47,11110, , , ,195,0, ,0,0
125.51,0100,신축,20010814,0,29.862,10100,청운동주택, ,0015,20130618,1, , ,0,0,0056, , ,08,대,1020,일반주거지역, ,1,01000,단독주택,11110-929,420.3,0,서울특별시 종로구 청운동 15-56번지,20010912,48,11110, , ,20010912,381.03,3,20020314,57.2758,240.73
49.58, , ,20050311,0,0,10100, , ,0016,20190305,0, , ,0,0,0001, , , , , , , ,0, , ,11110-3511,0,0,서울특별시 종로구 청운동 16-1번지, ,49,11110, , , ,49.58,0, ,0,0
342.16,0100,신축,20030725,0,29.59,10100,청운동 라임카운티, ,0030,20140711,0, , ,8,0,0001,300,자연환경지구,08,대,1021,제1종일반주거지역, ,1,02000,공동주택,11110-2469,1156.3,0,서울특별시 종로구 청운동 30-1번지,20030814,50,11110, , ,20030820,1710.1,16,20040831,84.13,972.78
0, , ,20030612,0,0,10100, , ,0030,20100325,0, , ,0,0,0005, , , , , , , ,0, , ,11110-5806,0,0,서울특별시 종로구 청운동 30-5번지, ,51,11110, , , ,0,0, ,0,0
0, , ,20151013,0,0,10100, , ,0030,20151014,0, , ,0,0,0013, , ,08,대, , , ,0, , ,11110-100023937,0,0,서울특별시 종로구 청운동 30-13번지, ,52,11110, , , ,0,0, ,0,0
321.28,0100,신축,20151111,0,28.82,10100,청운동 30-13외 2필지 근린생활시설, ,0030,20170908,0,UOA120,상대정화구역,0,0,0013,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,03000,제1종근린생활시설,11110-100024216,1114.9,0,서울특별시 종로구 청운동 30-13번지,20151127,53,11110, , ,20151127,998.3,0,20170907,74.44,829.98
0, , ,20171019,0,0,10100, , ,0030,20171020,0,ZQ0001,중점경관관리구역,0,0,0013,UQF110,자연경관지구,08,대,UQA01X,도시지역, ,0, , ,11110-100029175,0,0,서울특별시 종로구 청운동 30-13번지, ,54,11110, , , ,0,0, ,0,0
226.9,0200,증축,20170105,0,28.68,10100, , ,0030,20180519,2, , ,0,0,0015,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,01000,단독주택,11110-100027079,791.2,0,서울특별시 종로구 청운동 30-15번지,20170118,55,11110, , ,20170119,449.14,0, ,52.73,417.17
27, , ,20010810,0,0,10100, , ,0031,20100818,0, , ,0,0,0007, , , , , , , ,0, , ,11110-1370,110.1,0,서울특별시 종로구 청운동 31-7번지, ,56,11110, , , ,27,0, ,0,0
0, , ,20151013,0,0,10100, , ,0038,20151014,0, , ,0,0,0001, , ,08,대, , , ,0, , ,11110-100023936,0,0,서울특별시 종로구 청운동 38-1번지, ,57,11110, , , ,0,0, ,0,0
0, , ,20030409,0,0,10100, , ,0039,20100325,0, , ,0,0,0006, , , , , , , ,0, , ,11110-5722,0,0,서울특별시 종로구 청운동 39-6번지, ,58,11110, , , ,0,0, ,0,0
74.11,0100,신축,20021023,0,38.9,10100,청운동 근린생활시설, ,0039,20140327,0, , ,0,0,0006,200,경치지구,08,대,1020,일반주거지역, ,1,04000,제2종근린생활시설,11110-1827,190.5,0,서울특별시 종로구 청운동 39-6번지,20030412,59,11110, , ,20030414,331.41,3,20031017,116.71,222.33
184.36,0100,신축,20011228,0,29.93,10100,청운동 다세대주택, ,0040,20090326,0, , ,6,0,0003,990,기타지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-1032,615.9,0,서울특별시 종로구 청운동 40-3번지, ,60,11110, , , ,553.08,6, ,89.8,553.08
0, , ,20020905,0,0,10100, , ,0040,20100325,0, , ,0,0,0003, , , , , , , ,0, , ,11110-5518,0,0,서울특별시 종로구 청운동 40-3번지, ,61,11110, , , ,0,0, ,0,0
149.4,0100,신축,20020902,0,24.26,10100,한혜진씨근/생주택, ,0040,20140206,1, , ,0,0,0003,200,경치지구,08,대,1020,일반주거지역, ,1,04000,제2종근린생활시설,11110-1758,615.9,0,서울특별시 종로구 청운동 40-3번지,20020905,62,11110, , ,20020909,387,3,20021221,62.83,387
149.4,0200,증축,20140303,0,24.26,10100, , ,0040,20180914,0, , ,0,0,0003,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,04000,제2종근린생활시설,11110-100019422,615.9,0,서울특별시 종로구 청운동 40-3번지,20140304,63,11110, , ,20140305,448.2,0,20140328,72.77,448.2
121.42,0700,용도변경,20150721,0,30.68,10100, , ,0048,20150730,0, , ,0,0,0000,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,04000,제2종근린생활시설,11110-100023269,395.7,0,서울특별시 종로구 청운동 48번지, ,64,11110, , , ,268.89,0,20150729,59.95,237.22
0, , ,20160705,0,0,10100, , ,0049,20160706,0, , ,0,0,0002, , ,08,대, , , ,0, , ,11110-100025772,0,0,서울특별시 종로구 청운동 49-2번지, ,65,11110, , , ,0,0, ,0,0
107.01,0100,신축,20160113,0,39.32,10100, , ,0049,20170524,1, , ,0,0,0002,UQF110,자연경관지구,08,대,UQA121,제1종일반주거지역, ,1,04000,제2종근린생활시설,11110-100024571,272.1,0,서울특별시 종로구 청운동 49-2번지,20160714,66,11110, , ,20160718,471.49,0,20170523,115.7,314.83
0, , ,20160705,0,0,10100, , ,0049,20160706,0, , ,0,0,0003, , ,08,대, , , ,0, , ,11110-100025771,0,0,서울특별시 종로구 청운동 49-3번지, ,67,11110, , , ,0,0, ,0,0
72.12,0100,신축,20160629,0,46.62,10100,청운동 50-6 단독주택, ,0050,20170421,0,UOA120,상대정화구역,1,0,0006,UQH110,최고고도지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100025737,154.7,0,서울특별시 종로구 청운동 50-6번지,20160929,68,11110, , ,20160930,116.79,0,20170419,75.49,116.79
176.07,0100,신축,20011219,0,51.06,10100,다세대주택, ,0050,20131206,0, , ,8,0,0010,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-1020,344.8,0,서울특별시 종로구 청운동 50-10번지,20020323,69,11110, , ,20020329,657.83,8,20021114,190.79,657.83
0, , ,20180420,0,0,10100, , ,0050,20180421,0, , ,0,0,0030, , ,08,대, , , ,0, , ,11110-100030448,0,0,서울특별시 종로구 청운동 50-30번지, ,70,11110, , , ,0,0, ,0,0
192.28,0100,신축,20160203,0,57.39,10100, , ,0050,20190213,0, , ,7,0,0030,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,02000,공동주택,11110-100024762,336.2,0,서울특별시 종로구 청운동 50-30번지,20180813,71,11110, ,20180120,20180816,606.38,0,20190212,180.36,606.38
0, , ,20160802,0,0,10100, , ,0050,20160805,0, , ,0,0,0040, , ,08,대, , , ,0, , ,11110-100025971,0,0,서울특별시 종로구 청운동 50-40번지, ,72,11110, , , ,0,0, ,0,0
163.26,0100,신축,20160802,0,29.4773,10100,청운동 50-40 단독주택 (김광옥), ,0050,20170722,0, , ,1,0,0040,UQF110,자연경관지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100025972,553.85,0,서울특별시 종로구 청운동 50-40번지,20160901,73,11110, , ,20160905,313.11,0,20170721,56.5334,313.11
35.96,0100,신축,20150407,0,53.41,10100,청운동 50-62 단독주택 (이경철), ,0050,20150903,1,UOA120,상대정화구역,0,0,0062,UQH110,최고고도지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100022515,67.33,0,서울특별시 종로구 청운동 50-62번지,20150518,74,11110, , ,20150515,121.34,0,20150901,146.86,98.88
122.1,0100,신축,20001205,0,54.8813,10100, , ,0051,20130618,0, , ,4,0,0005,112,최고고도지구, , ,1020,일반주거지역, ,1,02000,공동주택,11110-517,222.48,0,서울특별시 종로구 청운동 51-5번지,20001205,75,11110, , ,20001215,430.02,4,20010730,193.2848,430.02
121.43,0100,신축,20001205,0,54.36,10100, , ,0051,20130618,0,990,기타구역,4,0,0005,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-418,222.48,0,서울특별시 종로구 청운동 51-5번지,20001211,76,11110, , ,20001215,437.18,4, ,196.5,437.18
123.76,0100,신축,20150925,0,59.5,10100,청운동 52-2 단독주택 (홍은표), ,0052,20160608,2,UOA120,상대정화구역,0,0,0002,UQH110,최고고도지구,08,대,UQA001,도시지역, ,1,01000,단독주택,11110-100023810,208,0,서울특별시 종로구 청운동 52-2번지,20151027,77,11110, , ,20151027,351.8,0,20160607,149.61,311.2
0, , ,20100615,0,0,10100, , ,0052,20100616,0, , ,0,0,0005, , ,08,대, , , ,0, , ,11110-100012124,0,0,서울특별시 종로구 청운동 52-5번지, ,78,11110, , , ,0,0, ,0,0
166.38,0100,신축,20100430,0,55.61,10100, , ,0052,20101123,0, , ,8,0,0005,112,최고고도지구,08,대,0100,도시지역, ,1,02000,공동주택,11110-100011904,299.2,0,서울특별시 종로구 청운동 52-5번지,20100625,79,11110, , ,20100625,596.6,0,20101119,199.4,596.6
166.38,0200,증축, ,0,55.61,10100, , ,0052,20141001,0, , ,8,0,0005,UQH110,최고고도지구,08,대,UQA122,제2종일반주거지역, ,1,02000,공동주택,11110-100020788,299.2,0,서울특별시 종로구 청운동 52-5번지, ,80,11110, , , ,637.08,0,20140929,212.93,637.08
166.38,0600,대수선,20180319,0,55.6083,10100,효산빌리지, ,0052,20180328,0, , ,8,0,0005, , ,08,대, , , ,1,02000,공동주택,11110-100030171,299.2,0,서울특별시 종로구 청운동 52-5번지,20180327,81,11110, , ,20180322,637.08,0, ,212.9278,637.08
97.6,0100,신축,20010214,0,56.16,10100,신현빌라트, ,0052,20090326,0, , ,4,0,0006,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-794,173.78,0,서울특별시 종로구 청운동 52-6번지,20010226,82,11110, , ,20010226,458.28,4,20010531,208.99,363.2
110.86,0100,신축,20000624,0,29.91,10100,청운빌라, ,0052,20130618,0, , ,3,0,0010,200,경치지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-472,370.63,0,서울특별시 종로구 청운동 52-10번지,20000707,83,11110, , ,200007,487.48,6,20011231,88.29,327.24
102.41,0100,신축,20000412,0,59.57,10100, , ,0052,20100604,0, , ,4,0,0015,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-446,171.9,0,서울특별시 종로구 청운동 52-15번지,20000412,84,11110, , , ,485.32,4, ,223.12,383.55
101.76,0100,신축,20030719,0,56.64,10100,청운빌라, ,0052,20090326,0, , ,4,0,0016,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-2465,185.1,0,서울특별시 종로구 청운동 52-16번지, ,85,11110, ,20050630, ,407.49,4, ,171.59,317.61
110.88,0100,신축,20000612,0,59.9,10100,다세대주택, ,0052,20090326,0, , ,4,0,0018,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-567,185.1,0,서울특별시 종로구 청운동 52-18번지, ,86,11110, , , ,532.32,5,20001122,227.68,421.44
110.88,0100,신축,20000612,0,59.9,10100,'빈귀자'씨다세대주택, ,0052,20120204,0, , ,4,0,0018,112,최고고도지구,08,대,1020,일반주거지역, ,1,02000,공동주택,11110-467,185.1,0,서울특별시 종로구 청운동 52-18번지, ,87,11110, , , ,532.32,5, ,227.68,421.44
44.43,0100,신축,20010413,0,39.86,10100,단독주택,52,0052,20090326,1, , ,0,0,0023,300,자연환경지구,08,대,1020,일반주거지역,23,1,01000,단독주택,11110-1080,111.44,0,서울특별시 종로구 청운동 52-23번지,20010419,88,11110,서울시 종로구 청운동, ,20010414,158.16,1,20010822,79.73,88.86
73.45,0100,신축,20090223,0,39.6813,10100, , ,0052,20100112,3, , ,0,0,0026,411,자연경관지구,08,대,1021,제1종일반주거지역, ,1,01000,단독주택,11110-100008788,185.1,0,서울특별시 종로구 청운동 52-26번지,20090527,89,11110, , ,20090601,334.31,0,20100105,114.8298,212.55
0, , ,20090527,0,0,10100, , ,0052,20100325,0, , ,0,0,0026, , ,08,대, , , ,0, , ,11110-100009995,0,0,서울특별시 종로구 청운동 52-26번지, ,90,11110, , , ,0,0, ,0,0
0, , ,20161021,0,0,10100, , ,0052,20161022,0, , ,0,0,0028, , ,08,대, , , ,0, , ,11110-100026582,0,0,서울특별시 종로구 청운동 52-28번지, ,91,11110, , , ,0,0, ,0,0
0, , ,20100615,0,0,10100, , ,0052,20100616,0, , ,0,0,0037, , ,08,대, , , ,0, , ,11110-100012123,0,0,서울특별시 종로구 청운동 52-37번지, ,92,11110, , , ,0,0, ,0,0
61.28,0100,신축,20010608,0,57.92,10100,청운동근생주택, ,0052,20090326,1, , ,0,0,0038,112,최고고도지구, , ,1020,일반주거지역, ,1,01000,단독주택,11110-869,105.8,0,서울특별시 종로구 청운동 52-38번지,20010614,93,11110, , , ,190.65,1,20010924,180.2,190.65
