bjdongCd,block,bun,changGbCd,changGbCdNm,crtnDay,flrGbCd,flrGbCdNm,flrNo,hoNm,hoNo,ji,lot,mgmDongOulnPk,mgmHoDetlPk,mgmPmsrgstPk,platGbCd,platPlc,pngtypGbNm,rnum,sigunguCd,splotNm
10100, ,0057, , ,20170603,20,지상,2, ,0,0042, ,11110-100028087,11110-100013729,11110-100025790,0,서울특별시 종로구 청운동 57-42번지, ,118,11110, 
10100,57,0057, , ,20130618,20,지상,1,64,1,0064,64,11110-1406,11110-11134,11110-1006,0,서울특별시 종로구 청운동 57-64번지,64,119,11110,서울시 종로구 청운동
10100,57,0057, , ,20130618,20,지상,2,64,2,0064,64,11110-1406,11110-11135,11110-1006,0,서울특별시 종로구 청운동 57-64번지,64,120,11110,서울시 종로구 청운동
10100,57,0057, , ,20130618,20,지상,3,64,3,0064,64,11110-1406,11110-11136,11110-1006,0,서울특별시 종로구 청운동 57-64번지,64,121,11110,서울시 종로구 청운동
10100,57,0057, , ,20130618,20,지상,4,64,4,0064,64,11110-1406,11110-11137,11110-1006,0,서울특별시 종로구 청운동 57-64번지,64,122,11110,서울시 종로구 청운동
10100, ,0057, , ,20150109,20,지상,5, ,0,0064, ,11110-100020989,11110-100010557,11110-100021666,0,서울특별시 종로구 청운동 57-64번지, ,123,11110, 
10100, ,0060, , ,20090326,20,지상,1, ,0,0000, ,11110-100007114,11110-100002409,11110-100005957,0,서울특별시 종로구 청운동 60번지, ,124,11110, 
10100, ,0060, , ,20090326,20,지상,3, ,0,0000, ,11110-100007114,11110-100002410,11110-100005957,0,서울특별시 종로구 청운동 60번지, ,125,11110, 
10100, ,0060, , ,20090326,20,지상,4, ,0,0000, ,11110-100007114,11110-100002411,11110-100005957,0,서울특별시 종로구 청운동 60번지, ,126,11110, 
10100, ,0060, , ,20090326,20,지상,1, ,0,0000, ,11110-100007114,11110-100002412,11110-100005957,0,서울특별시 종로구 청운동 60번지, ,127,11110, 
10100, ,0079, , ,20090326,20,지상,3, ,3,0002, ,11110-2264,11110-14179,11110-1790,0,서울특별시 종로구 청운동 79-2번지, ,128,11110, 
10100, ,0079, , ,20090326,20,지상,2, ,2,0002, ,11110-2264,11110-14178,11110-1790,0,서울특별시 종로구 청운동 79-2번지, ,129,11110, 
10100, ,0079, , ,20090326,20,지상,1, ,1,0002, ,11110-2264,11110-14177,11110-1790,0,서울특별시 종로구 청운동 79-2번지, ,130,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,1,0005, ,11110-1986,11110-11846,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,131,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,2,0005, ,11110-1986,11110-11847,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,132,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,3,0005, ,11110-1986,11110-11848,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,133,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,4,0005, ,11110-1986,11110-11849,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,134,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,5,0005, ,11110-1986,11110-11850,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,135,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,6,0005, ,11110-1986,11110-11851,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,136,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,7,0005, ,11110-1986,11110-11852,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,137,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,8,0005, ,11110-1986,11110-11853,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,138,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,9,0005, ,11110-1986,11110-11854,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,139,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,10,0005, ,11110-1986,11110-11855,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,140,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,11,0005, ,11110-1986,11110-11856,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,141,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,12,0005, ,11110-1986,11110-11857,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,142,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,13,0005, ,11110-1986,11110-11858,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,143,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,14,0005, ,11110-1986,11110-11859,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,144,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,15,0005, ,11110-1986,11110-11860,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,145,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,16,0005, ,11110-1986,11110-11861,11110-1530,0,서울특별시 종로구 청운동 89-5번지, ,146,11110, 
10100, ,0089, , ,20090326,10,지하,1, ,1,0017, ,11110-1198,11110-9638,11110-799,0,서울특별시 종로구 청운동 89-17번지, ,147,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,2,0017, ,11110-1198,11110-9639,11110-799,0,서울특별시 종로구 청운동 89-17번지, ,148,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,3,0017, ,11110-1198,11110-9640,11110-799,0,서울특별시 종로구 청운동 89-17번지, ,149,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,4,0017, ,11110-1198,11110-9641,11110-799,0,서울특별시 종로구 청운동 89-17번지, ,150,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,5,0017, ,11110-1198,11110-9642,11110-799,0,서울특별시 종로구 청운동 89-17번지, ,151,11110, 
10100, ,0089, , ,20090326,10,지하,1, ,1,0022, ,11110-1347,11110-10990,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,152,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,2,0022, ,11110-1347,11110-10991,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,153,11110, 
10100, ,0089, , ,20090326,20,지상,1, ,3,0022, ,11110-1347,11110-10992,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,154,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,4,0022, ,11110-1347,11110-10993,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,155,11110, 
10100, ,0089, , ,20090326,20,지상,2, ,5,0022, ,11110-1347,11110-10994,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,156,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,6,0022, ,11110-1347,11110-10995,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,157,11110, 
10100, ,0089, , ,20090326,20,지상,3, ,7,0022, ,11110-1347,11110-10996,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,158,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,8,0022, ,11110-1347,11110-10997,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,159,11110, 
10100, ,0089, , ,20090326,20,지상,4, ,9,0022, ,11110-1347,11110-10998,11110-947,0,서울특별시 종로구 청운동 89-22번지, ,160,11110, 
10100, ,0107, , ,20180608,20,지상,1, ,1,0000, ,11110-2857,11110-17085,11110-2326,0,서울특별시 종로구 청운동 107번지, ,161,11110, 
10100, ,0107, , ,20180608,20,지상,2, ,2,0000, ,11110-2857,11110-17086,11110-2326,0,서울특별시 종로구 청운동 107번지, ,162,11110, 
