archGbCd,archGbCdNm,bjdongCd,bldNm,block,bun,crtnDay,flrArea,flrGbCd,flrGbCdNm,flrNo,ji,lot,mainPurpsCd,mainPurpsCdNm,mgmDongOulnPk,mgmFlrOulnPk,mgmPmsrgstPk,platGbCd,platPlc,rnum,sigunguCd,splotNm,strctCd,strctCdNm
0100,신축,10100, , ,0012,20190109,131.44,20,지상,3,0002, ,02003,다세대주택,11110-100030159,11110-100059400,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,73,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190109,131.44,20,지상,2,0002, ,02003,다세대주택,11110-100030159,11110-100059401,11110-100030002,0,서울특별시 종로구 청운동 12-2번지,74,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190329,38.3,20,지상,2,0003, ,01003,다가구주택,11110-100035181,11110-100066443,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,75,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190329,44.81,20,지상,3,0003, ,01003,다가구주택,11110-100035181,11110-100066444,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,76,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190329,31.34,20,지상,4,0003, ,01003,다가구주택,11110-100035181,11110-100066445,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,77,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0012,20190329,32.57,20,지상,1,0003, ,04402,사무소,11110-100035181,11110-100066446,11110-100034089,0,서울특별시 종로구 청운동 12-3번지,78,11110, ,21,철근콘크리트구조
0200,증축,10100, , ,0012,20141210,23.57,20,지상,2,0005, ,01001,단독주택,11110-100020631,11110-100040217,11110-100021370,0,서울특별시 종로구 청운동 12-5번지,79,11110, ,32,경량철골구조
0200,증축,10100, , ,0012,20141210,9.91,20,지상,1,0005, ,01001,단독주택,11110-100020631,11110-100040218,11110-100021370,0,서울특별시 종로구 청운동 12-5번지,80,11110, ,32,경량철골구조
0100,신축,10100,레노시스빌, ,0015,20130618,295.79,10,지하,1,0000, ,02002,연립주택,11110-2338,11110-11489,11110-1864,0,서울특별시 종로구 청운동 15번지,81,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,44.68,10,지하,1,0000, ,02002,연립주택,11110-2338,11110-11490,11110-1864,0,서울특별시 종로구 청운동 15번지,82,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,25.62,10,지하,1,0000, ,02002,연립주택,11110-2338,11110-11491,11110-1864,0,서울특별시 종로구 청운동 15번지,83,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,22.09,10,지하,1,0000, ,02002,연립주택,11110-2338,11110-11492,11110-1864,0,서울특별시 종로구 청운동 15번지,84,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,243.11,20,지상,1,0000, ,02002,연립주택,11110-2338,11110-11493,11110-1864,0,서울특별시 종로구 청운동 15번지,85,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,243.11,20,지상,2,0000, ,02002,연립주택,11110-2338,11110-11494,11110-1864,0,서울특별시 종로구 청운동 15번지,86,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,243.11,20,지상,3,0000, ,02002,연립주택,11110-2338,11110-11495,11110-1864,0,서울특별시 종로구 청운동 15번지,87,11110, ,21,철근콘크리트구조
0100,신축,10100,레노시스빌, ,0015,20130618,25.62,30,옥탑,1,0000, ,02002,연립주택,11110-2338,11110-11496,11110-1864,0,서울특별시 종로구 청운동 15번지,88,11110, ,21,철근콘크리트구조
0100,신축,10100,드림빌, ,0015,20130618,82.75,10,지하,1,0007, ,02003,다세대주택,11110-2020,11110-9464,11110-1561,0,서울특별시 종로구 청운동 15-7번지,89,11110, ,21,철근콘크리트구조
0100,신축,10100,드림빌, ,0015,20130618,66.33,10,지하,1,0007, ,02003,다세대주택,11110-2020,11110-9465,11110-1561,0,서울특별시 종로구 청운동 15-7번지,90,11110, ,21,철근콘크리트구조
0100,신축,10100,드림빌, ,0015,20130618,169.26,20,지상,1,0007, ,02003,다세대주택,11110-2020,11110-9466,11110-1561,0,서울특별시 종로구 청운동 15-7번지,91,11110, ,21,철근콘크리트구조
0100,신축,10100,드림빌, ,0015,20130618,168.57,20,지상,2,0007, ,02003,다세대주택,11110-2020,11110-9467,11110-1561,0,서울특별시 종로구 청운동 15-7번지,92,11110, ,21,철근콘크리트구조
0100,신축,10100,드림빌, ,0015,20130618,168.57,20,지상,3,0007, ,02003,다세대주택,11110-2020,11110-9468,11110-1561,0,서울특별시 종로구 청운동 15-7번지,93,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 단독주택, ,0015,20090326,142.22,20,지상,1,0009, ,01001,단독주택,11110-3107,11110-14794,11110-2561,0,서울특별시 종로구 청운동 15-9번지,94,11110, ,31,일반철골구조
0100,신축,10100,청운동 단독주택, ,0015,20090326,108.38,20,지상,2,0009, ,01001,단독주택,11110-3107,11110-14795,11110-2561,0,서울특별시 종로구 청운동 15-9번지,95,11110, ,31,일반철골구조
0100,신축,10100,청운동 단독주택, ,0015,20090326,76.56,20,지상,3,0009, ,01001,단독주택,11110-3107,11110-14796,11110-2561,0,서울특별시 종로구 청운동 15-9번지,96,11110, ,31,일반철골구조
0100,신축,10100,단독주택, ,0015,20180914,27.49,10,지하,1,0012, ,01001,단독주택,11110-100019482,11110-100037581,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,97,11110, ,21,철근콘크리트구조
0100,신축,10100,단독주택, ,0015,20180914,142.29,10,지하,1,0012, ,01001,단독주택,11110-100019482,11110-100037582,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,98,11110, ,21,철근콘크리트구조
0100,신축,10100,단독주택, ,0015,20180914,50.16,10,지하,1,0012, ,01001,단독주택,11110-100019482,11110-100037583,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,99,11110, ,21,철근콘크리트구조
0100,신축,10100,단독주택, ,0015,20180914,144.09,20,지상,2,0012, ,01001,단독주택,11110-100019482,11110-100037584,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,100,11110, ,21,철근콘크리트구조
0100,신축,10100,단독주택, ,0015,20180914,154.06,20,지상,1,0012, ,01001,단독주택,11110-100019482,11110-100037585,11110-100016889,0,서울특별시 종로구 청운동 15-12번지,101,11110, ,21,철근콘크리트구조
0100,신축,10100, , ,0015,20111209,18,20,지상,1,0014, ,28009,임시사무실,11110-100008389,11110-100013651,11110-100010771,0,서울특별시 종로구 청운동 15-14번지,102,11110, ,32,경량철골구조
0100,신축,10100, , ,0015,20111209,18,20,지상,2,0014, ,28009,임시사무실,11110-100008389,11110-100013652,11110-100010771,0,서울특별시 종로구 청운동 15-14번지,103,11110, ,32,경량철골구조
0100,신축,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,170.43,20,지상,2,0014, ,01001,단독주택,11110-100013206,11110-100024776,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,104,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,34.65,10,지하,1,0014, ,01001,단독주택,11110-100013206,11110-100024777,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,105,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,206.01,20,지상,1,0014, ,01001,단독주택,11110-100013206,11110-100024778,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,106,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 15-14 단독주택 (박성빈), ,0015,20111209,87.19,10,지하,1,0014, ,01001,단독주택,11110-100013206,11110-100024779,11110-100011735,0,서울특별시 종로구 청운동 15-14번지,107,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,123.9,10,지하,1,0015, ,20001,주차장,11110-2996,11110-14088,11110-2463,0,서울특별시 종로구 청운동 15-15번지,108,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,127.72,10,지하,1,0015, ,04402,사무소,11110-2996,11110-14089,11110-2463,0,서울특별시 종로구 청운동 15-15번지,109,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,13.64,10,지하,1,0015, ,Z9999, ,11110-2996,11110-14090,11110-2463,0,서울특별시 종로구 청운동 15-15번지,110,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,14.43,10,지하,1,0015, ,01001,단독주택,11110-2996,11110-14091,11110-2463,0,서울특별시 종로구 청운동 15-15번지,111,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,124.2,10,지하,1,0015, ,04499,기타사무소,11110-2996,11110-14092,11110-2463,0,서울특별시 종로구 청운동 15-15번지,112,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,140.74,20,지상,1,0015, ,01001,단독주택,11110-2996,11110-14093,11110-2463,0,서울특별시 종로구 청운동 15-15번지,113,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,140.74,20,지상,1,0015, ,01001,단독주택,11110-2996,11110-14094,11110-2463,0,서울특별시 종로구 청운동 15-15번지,114,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,141.48,20,지상,1,0015, ,01001,단독주택,11110-2996,11110-14095,11110-2463,0,서울특별시 종로구 청운동 15-15번지,115,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,148.96,20,지상,2,0015, ,01001,단독주택,11110-2996,11110-14096,11110-2463,0,서울특별시 종로구 청운동 15-15번지,116,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,148.96,20,지상,2,0015, ,01001,단독주택,11110-2996,11110-14097,11110-2463,0,서울특별시 종로구 청운동 15-15번지,117,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동주택, ,0015,20130618,142.6,20,지상,2,0015, ,01001,단독주택,11110-2996,11110-14098,11110-2463,0,서울특별시 종로구 청운동 15-15번지,118,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 15-17 단독주택 (정지윤), ,0015,20111104,198.24,20,지상,1,0017, ,01001,단독주택,11110-100012952,11110-100024235,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,119,11110, ,21,철근콘크리트구조
0100,신축,10100,청운동 15-17 단독주택 (정지윤), ,0015,20111104,96.35,10,지하,1,0017, ,01001,단독주택,11110-100012952,11110-100024236,11110-100011736,0,서울특별시 종로구 청운동 15-17번지,120,11110, ,21,철근콘크리트구조
