,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C2,C2_NM,C2_OBJ_NM,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
72,36,전라남도,Jeollanam-do,거주지역별,020,1호초과~2호이하,소유지분별,94783,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
73,36,전라남도,Jeollanam-do,거주지역별,030,2호초과~3호이하,소유지분별,22479,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
74,36,전라남도,Jeollanam-do,거주지역별,040,3호초과,소유지분별,8809,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
75,37,경상북도,Gyeongsangbuk-do,거주지역별,000,총계,소유지분별,652416,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
76,37,경상북도,Gyeongsangbuk-do,거주지역별,010,1호이하,소유지분별,466820,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
77,37,경상북도,Gyeongsangbuk-do,거주지역별,020,1호초과~2호이하,소유지분별,141901,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
78,37,경상북도,Gyeongsangbuk-do,거주지역별,030,2호초과~3호이하,소유지분별,31959,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
79,37,경상북도,Gyeongsangbuk-do,거주지역별,040,3호초과,소유지분별,11736,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
80,38,경상남도,Gyeongsangnam-do,거주지역별,000,총계,소유지분별,800655,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
81,38,경상남도,Gyeongsangnam-do,거주지역별,010,1호이하,소유지분별,581517,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
82,38,경상남도,Gyeongsangnam-do,거주지역별,020,1호초과~2호이하,소유지분별,167315,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
83,38,경상남도,Gyeongsangnam-do,거주지역별,030,2호초과~3호이하,소유지분별,37201,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
84,38,경상남도,Gyeongsangnam-do,거주지역별,040,3호초과,소유지분별,14622,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
85,39,제주특별자치도,Jeju,거주지역별,000,총계,소유지분별,132246,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
86,39,제주특별자치도,Jeju,거주지역별,010,1호이하,소유지분별,88677,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
87,39,제주특별자치도,Jeju,거주지역별,020,1호초과~2호이하,소유지분별,30290,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
88,39,제주특별자치도,Jeju,거주지역별,030,2호초과~3호이하,소유지분별,8378,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
89,39,제주특별자치도,Jeju,거주지역별,040,3호초과,소유지분별,4901,T001,일반가구수,101,2017,A,DT_1OH0409,거주지역별 주택소유지분별 주택소유 가구수 현황,가구,Households
