번호,접속 사이트,제공항목(데이터셋),폴더명,작업자,시작일,종료일,검토자,진행상태,비고,획득방식,제공방식,원본제공처,비고0,비고2_comment,자료명,서비스명,사이트,서비스키헤더,서비스키명,서비스키,파라미터,제공방식,데이터타입,참고문서,참고문서타입,주기,비고_파라미터설명,완료여부,API PGM ID,파일명
55,국가통계포털,공사완료후 미분양현황,55_공사완료후 미분양현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10055.py,TB_OD10055_yyyymm.csv
56,국가통계포털,시?군?구별 미분양현황,56_시?군?구별 미분양현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10056.py,TB_OD10056_yyyymm.csv
57,국가통계포털,미분양현황_종합,57_미분양현황_종합,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10057.py,TB_OD10057_yyyymm.csv
58,국가통계포털,부동산시장 소비심리지수,58_부동산시장 소비심리지수,,,,,,,,API or DATA,국토연구원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10058.py,TB_OD10058_yyyymm.csv
59,국가통계포털,주택시장 소비심리지수,59_주택시장 소비심리지수,,,,,,,,API or DATA,국토연구원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10059.py,TB_OD10059_yyyymm.csv
60,국가통계포털,토지시장 소비심리지수,60_토지시장 소비심리지수,,,,,,,,API or DATA,국토연구원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10060.py,TB_OD10060_yyyymm.csv
61,국가통계포털,주택매매시장 소비심리지수,61_주택매매시장 소비심리지수,,,,,,,,API or DATA,국토연구원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10061.py,TB_OD10061_yyyymm.csv
62,국가통계포털,주택전세시장 소비심리지수,62_주택전세시장 소비심리지수,,,,,,,,API or DATA,국토연구원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10062.py,TB_OD10062_yyyymm.csv
63,국가통계포털,연도별 사업주체별 건설현황,63_연도별 사업주체별 건설현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10063.py,TB_OD10063_yyyymm.csv
64,국가통계포털,준공연도별 규모현황,64_준공연도별 규모현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10064.py,TB_OD10064_yyyymm.csv
65,국가통계포털,준공연도별 지역별 규모 현황,65_준공연도별 지역별 규모 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10065.py,TB_OD10065_yyyymm.csv
66,국가통계포털,준공년도별 지역별 규모현황,66_준공년도별 지역별 규모현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10066.py,TB_OD10066_yyyymm.csv
67,국가통계포털,지역별 규모현황,67_지역별 규모현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10067.py,TB_OD10067_yyyymm.csv
68,국가통계포털,지역별 단지면적 현황,68_지역별 단지면적 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10068.py,TB_OD10068_yyyymm.csv
69,국가통계포털,지역별 대중교통 및 교육시설 인접현황,69_지역별 대중교통 및 교육시설 인접현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10069.py,TB_OD10069_yyyymm.csv
70,국가통계포털,지역별 용도지역 현황,70_지역별 용도지역 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10070.py,TB_OD10070_yyyymm.csv
71,국가통계포털,지역별 용도지역 현황,71_지역별 용도지역 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10071.py,TB_OD10071_yyyymm.csv
72,국가통계포털,지역별 일반 면적현황,72_지역별 일반 면적현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10072.py,TB_OD10072_yyyymm.csv
73,국가통계포털,년도별 사업주체별 건설현황,73_년도별 사업주체별 건설현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10073.py,TB_OD10073_yyyymm.csv
74,국가통계포털,지역별 구조방식 현황,74_지역별 구조방식 현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10074.py,TB_OD10074_yyyymm.csv
75,국가통계포털,층수별 구조방식 현황(층수별),75_층수별 구조방식 현황(층수별),,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10075.py,TB_OD10075_yyyymm.csv
76,국가통계포털,매매가격지수,76_매매가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10076.py,TB_OD10076_yyyymm.csv
77,국가통계포털,전세가격지수,77_전세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10077.py,TB_OD10077_yyyymm.csv
78,국가통계포털,월세가격지수,78_월세가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10078.py,TB_OD10078_yyyymm.csv
79,국가통계포털,매매가격,79_매매가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10079.py,TB_OD10079_yyyymm.csv
80,국가통계포털,전세가격,80_전세가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10080.py,TB_OD10080_yyyymm.csv
81,국가통계포털,월세가격,81_월세가격,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10081.py,TB_OD10081_yyyymm.csv
82,국가통계포털,매매가격 대비 전세가격 비율,82_매매가격 대비 전세가격 비율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10082.py,TB_OD10082_yyyymm.csv
83,국가통계포털,전세가격 대비 월세보증금 비율,83_전세가격 대비 월세보증금 비율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10083.py,TB_OD10083_yyyymm.csv
84,국가통계포털,전월세 전환율,84_전월세 전환율,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10084.py,TB_OD10084_yyyymm.csv
85,국가통계포털,수익률,85_수익률,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10085.py,TB_OD10085_yyyymm.csv
86,국가통계포털,가격지수 상대표준오차,86_가격지수 상대표준오차,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,20190419 삭제,TB_OD10086.py,TB_OD10086_yyyymm.csv
87,국가통계포털,시도별 임대주택사업자현황,87_시도별 임대주택사업자현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10087.py,TB_OD10087_yyyymm.csv
88,국가통계포털,연도별 임대주택사업자현황,88_연도별 임대주택사업자현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10088.py,TB_OD10088_yyyymm.csv
89,국가통계포털,임대주택건설실적,89_임대주택건설실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10089.py,TB_OD10089_yyyymm.csv
90,국가통계포털,임대주택 건설실적,90_임대주택 건설실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10090.py,TB_OD10090_yyyymm.csv
91,국가통계포털,임대주택건설실적,91_임대주택건설실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10091.py,TB_OD10091_yyyymm.csv
92,국가통계포털,임대주택 분양전환 실적,92_임대주택 분양전환 실적,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10092.py,TB_OD10092_yyyymm.csv
93,국가통계포털,임대주택 재고현황,93_임대주택 재고현황,,,,,,,,API or DATA,국토교통부,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10093.py,TB_OD10093_yyyymm.csv
94,국가통계포털,규모별 매매가격지수,94_규모별 매매가격지수,,,,,,,,API or DATA,한국감정원,건설/주택/토지 관련,,,,,,,,,,,,,,,완료,TB_OD10094.py,TB_OD10094_yyyymm.csv
