,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,C3,C3_NM,C3_NM_ENG,C3_OBJ_NM,C3_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
82,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,03,연령3,Age3,건축연령,Age,97.18145795,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
83,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,04,연령4,Age4,건축연령,Age,97.24152505,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
84,01,아파트,Apartments,주택유형,Type,a23,9개도,9Provinces,지역,Region,05,연령5,Age5,건축연령,Age,97.44148851,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
85,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,01,연령1,Age1,건축연령,Age,98.5871688,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
86,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,02,연령2,Age2,건축연령,Age,97.47811903,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
87,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,03,연령3,Age3,건축연령,Age,98.41773515,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
88,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,04,연령4,Age4,건축연령,Age,98.44576014,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
89,01,아파트,Apartments,주택유형,Type,a3,5대광역시,5LargeCities,지역,Region,05,연령5,Age5,건축연령,Age,97.99618889,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
90,01,아파트,Apartments,주택유형,Type,a4,8개도,8Provinces,지역,Region,01,연령1,Age1,건축연령,Age,97.18232866,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
91,01,아파트,Apartments,주택유형,Type,a4,8개도,8Provinces,지역,Region,02,연령2,Age2,건축연령,Age,96.93739551,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
92,01,아파트,Apartments,주택유형,Type,a4,8개도,8Provinces,지역,Region,03,연령3,Age3,건축연령,Age,95.63310958,rent,월세가격,408,201903,M,DT_30404_N0008,연령별 월세가격지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
