,C1,C1_NM,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ITM_NM_ENG,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
107,13102883384A.18,경북,구분,Classification,1265,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
108,13102883384A.19,경남,구분,Classification,6109,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
109,13102883384A.19,경남,구분,Classification,4938,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
110,13102883384A.19,경남,구분,Classification,438,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
111,13102883384A.19,경남,구분,Classification,58,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
112,13102883384A.19,경남,구분,Classification,47,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
113,13102883384A.19,경남,구분,Classification,628,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
114,13102883384A.20,제주,구분,Classification,1189,13103883384T1,계,Total,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
115,13102883384A.20,제주,구분,Classification,1049,13103883384T2,단독,Single house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
116,13102883384A.20,제주,구분,Classification,45,13103883384T3,다가구,Multihouseholds,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
117,13102883384A.20,제주,구분,Classification,67,13103883384T4,연립,Row house,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
118,13102883384A.20,제주,구분,Classification,28,13103883384T5,다세대,Multifamily housing,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
119,13102883384A.20,제주,구분,Classification,0,13103883384T6,아파트,Apartment,116,2017,A,DT_MLTM_5416,주택 멸실현황,호,Apartment Unit
