,C1,C1_NM,C1_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,C2,C2_NM,C2_NM_ENG,C2_OBJ_NM,C2_OBJ_NM_ENG,DT,ITM_ID,ITM_NM,ORG_ID,PRD_DE,PRD_SE,TBL_ID,TBL_NM,UNIT_NM,UNIT_NM_ENG
78,01,아파트,Apartments,주택유형,Type,a801,중부산권,Jungbusan-kwon,지역,Region,97.66796908,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
79,01,아파트,Apartments,주택유형,Type,a802,동부산권,Dongbusan-kwon,지역,Region,96.88631926,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
80,01,아파트,Apartments,주택유형,Type,a803,서부산권,Seobusan-kwon,지역,Region,98.50831496,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
81,01,아파트,Apartments,주택유형,Type,a9,대구,Daegu,지역,Region,100.0504919,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
82,02,연립다세대,Row Houses,주택유형,Type,a0,전국,TheWholeCountry,지역,Region,99.26471291,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
83,02,연립다세대,Row Houses,주택유형,Type,a1,수도권,SeoulMetropolitanArea,지역,Region,99.77129431,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
84,02,연립다세대,Row Houses,주택유형,Type,a10,광주,Gwangju,지역,Region,99.95980607,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
85,02,연립다세대,Row Houses,주택유형,Type,a11,대전,Daejeon,지역,Region,100.1818962,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
86,02,연립다세대,Row Houses,주택유형,Type,a12,울산,Ulsan,지역,Region,93.27883436,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
87,02,연립다세대,Row Houses,주택유형,Type,a13,세종,Sejong,지역,Region,99.46142841,rent,전월세통합지수(2015.6 ＝ 100.0),408,201903,M,DT_30404_N0012,전월세통합지수,2017.11 ＝ 100.0,2017.11 ＝ 100.0
